Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7
0.391821306,0.425921914,0.26523416,0.020580724,0.141058989,0.286104498,0.058881073
0.244845206,0.304236462,0.086910204,0.100466305,0.160218862,0.228761155,0.021406125
0.297562121,0.287717808,0.224373188,0,0.048907939,0.205504964,0.01892681
0.526766755,0.377302359,0.168516257,0.14280225,0.062814271,0.509065662,0.025479567
0.607473353,0.517166115,0.33372188,0.055771834,0.078253189,0.40387752,0.069887721
0.856133165,0.698269271,0.66420177,0.250633825,0.08832429,0.732344288,0.191395805
0.855817346,0.773031908,0.617730017,0.622164603,0.72775983,0.779949769,0.334363321
0.623342171,0.538922639,0.270398641,0.112074359,0.14663585,0.386203885,0.100099336
0.130282308,0.066243739,0.048182843,0.094187091,0.032056422,0.012591928,0.001143151
0.546778858,0.785759318,0.540633657,0.682602366,0.095567927,0.899244782,0.240352847
0.46005435,0.362017282,0.157892447,0.087025004,0.063620026,0.341549729,0.02363066
0.312346828,0.262496742,0.064894323,0.129895466,0.107453147,0.164669933,0.01268362
0.390159602,0.424092821,0.255707717,0.022756873,0.171300138,0.28773674,0.059840735
0.760701917,0.760943696,0.847983104,0.733770078,0.470938041,0.919638464,0.198073493
0.656524156,0.856741482,0.757911023,0.847731148,0.40420106,0.928831379,0.409251454
0.368685011,0.351564076,0.131390074,0.212654835,0.13136548,0.472647163,0.031860899
0.668337124,0.633172031,0.32668104,0.114957649,0.1079962,0.554422295,0.164748139
0.596045693,0.613068903,0.392489738,0.079535143,0.423115658,0.454337451,0.184528539
0.839090886,0.611908494,0.560972337,0.518135696,0.243502515,0.703544637,0.07491822
0.327561229,0.30881478,0.203408381,0.052561609,0.056325763,0.379374903,0.02434293
0.231712767,0.294451679,0.066203322,0.119812625,0.174118247,0.249288967,0.020397836
0.413651288,0.405802935,0.18343154,0.066044134,0.078494715,0.27590963,0.040209556
0.205498532,0.142041648,0.128977421,0.041849539,0.018666026,0.129547154,0.00349475
0.331109775,0.354735115,0.182019178,0.056976302,0.072758256,0.333234731,0.035245101
0.578500045,0.487355711,0.277098486,0.111904476,0.277096326,0.338411626,0.058532399
0.298025596,0.303357635,0.13778201,0.061240791,0.059643779,0.202160834,0.025291883
0.911868957,0.839185324,0.607391601,0.637736004,0.888743048,0.76003725,0.484851372
0.298170096,0.327408042,0.158891705,0.028248743,0.083955832,0.200240317,0.031080097
